title,artist,album,lyrics,original description,New Description
같은 시간 속의 너,나얼,브라운 아이드 소울 싱글 프로젝트 1st. 같은 시간 속의 너 By 나얼,"꼭 그러지 않아도
충분히 널 이해할 수 있어
다른 사람 곁에 서 있는 니 모습이
조금 어색하지만
다 버리지 않아도
어떻게든 이겨낼 수 있어
다른 사랑 찾아가버린 니 얼굴이
그렇게 밉진 않아
이제 우리 같은 시간 속을 남처럼
그렇게 걸으면 돼
달아나도 가지 못할 기억 안고
아무말도 하지마요
더는 안된다는거 잘 알아요
많은 날들이 아무 의미없진 않겠죠
멀어지는 바람처럼
우리 함께한 기억들을 꿈처럼
그렇게 안으면 돼
눈 감아도 잊지 못할 추억의 널 묻고
아무말도 하지마요
더는 안된다는거 잘 알아요
사랑했던 날 모두 사라지진 않겠죠
우릴 스치는 안개처럼
아무것도 묻지 않을게요
이대로 묻어둘래요 나는요
거짓말처럼 또 하루가 살아지겠죠
떨어지는
같은 시간 속의 너","가사에는 이별의 상심을 담았다. 같은 시간을 살아가지만 다른 공간 속에서 점점 멀어져 가는 대상을 그리며, 다시 돌릴 수 없는 관계를 받아들인다. '많은 날들이 아무 의미 없진 않겠죠.'라는 가사에서는 체념의 상심이 극대화 된다. ","이별의 상심과 체념을 담은 곡. 같은 시간을 살아가면서도 서로 멀어지는 두 사람의 이야기를 그리며, 추억을 안고 떠나는 감정을 표현한다. 함께한 기억을 꿈처럼 안으면서도, 사라지지 않는 사랑을 인정하는 감성적인 곡이다."
꺼내 먹어요,Zion.T,Eat,"안녕
쉽지 않죠 바쁘죠
왜 이렇게 까지
해야 하나 싶죠
바라는 게
더럽게 많죠
그렇죠
쉬고 싶죠
시끄럽죠
다 성가시죠
집에 가고 싶죠
집에 있는데도
집에 가고 싶을 거야
그럴 땐 이 노래를
초콜릿처럼 꺼내 먹어요
피곤해도 아침 점심 밥
좀 챙겨 먹어요
그러면 이따 내가 칭찬해줄게요
보고 싶어
많이 좋아해요
더 많이 안아주고 싶어요
사랑 사랑 비슷한 걸 해요
어쩌면 정말 사랑해요
배고플 땐 이 노래를
아침 사과처럼 꺼내 먹어요
피곤해도 아침 점심 밥
좀 챙겨 먹어요
그러면 이따 밤에 잠도 잘 올 거에요
힘들어요
아름다워서
알아봐줘요 나를
흘려 보내지 마요 나를
사랑해줘요 날 날
놓치지 마요","꺼내 먹어요'는 힘이 들 때, 위로해줄 누군가가 필요할 때 찾게 되는 위안처 같은 곡. 자이언티는 초콜릿이나 아침 사과처럼 하루 일상 속 소소한 행복을 느낄 수 있었으면, 그리고 하루를 살아갈 힘을 얻었으면 좋겠다고 말한다.","힘이 들 때 소중한 위로가 되어주는 곡. 자이언티는 소소한 행복과 힘을 주는 것을 바라며, 사랑과 위로를 전합니다."
이럴거면 그러지말지 (Feat. Young K),백아연,이럴거면 그러지말지,"궁금해서 잠이 안 와
그때 왜 그랬어
구차해도 묻고 싶어
그때 난 뭐였어
나나나나 나나 나나
나만 애 탄거니
나나나나 나나 나나
난 진심인데 넌
그랬구나 그랬어
좋았는데 넌 아니었나 봐
그랬구나 그때 넌
그런 줄 모르고 나 혼자
이럴 거면 바래다주었던 그날 밤
넌 나를 안아주지 말았어야지
설렘에 밤잠 설치게 했던 그 말
그 말도 말았어야지
그러지는 말지
비겁하게 숨어버린 너를
돌아 올 거라고 믿은 내가 바보야
사랑스럽게 날 보던 네 눈빛에
빠졌던 내가 바보지
이럴 줄도 모르고
이렇게 돼 버린 이상
그냥 얘기할게
이미 떠나버린 니 맘
돌릴 순 없으니
그랬구나 그랬어
좋았는데 넌 아니었나 봐
그랬구나 그때 넌
네 생각 뿐인데 나 혼자
이럴 거면 바래다주었던 그날 밤
넌 나를 안아주지 말았어야지
설렘에 밤잠 설치게 했던 그 말
그 말도 말았어야지
이럴 줄은 몰랐어
어때 넌 어떻게 하고 싶니
지금 이 순간의 감정일지
중간에 금방 에러가 날것인지
I don’t know 하지만 내 생각엔
오래가진 못할 거 같아
너 아닌 나 때문에
이 관계는 이어지지 못해
잠 못 들어 아픈 이 새벽
잘 지내니 문자 한번쯤은 해주지
혹시나 하며 올린 우리 얘기에
좋아요 누르지 말지
괜히 기대 하게
바래다주던 그 날 밤처럼
돌아와서 포근하게 나를 안아줘
설렘에 밤잠 설치게 했던 말로
또 두근거리게 해줘
다시 날 녹여줘
이럴 거면 귀엽다고 하지 말지
그러지 말지
혼잣말만 늘어가네
전하지도 못할 말만","최근 화두가 되고 있는 '썸남썸녀'에 관한 내용을 여자입장에서 독백형식으로 풀어낸, 직설적인 가사가 인상적인 곡이다. 발랄한 셔플 리듬 위에 기타, e.p, 퍼커션 등 어쿠스틱한 악기들, 그리고 한층 가벼워진 백아연의 애교 어린 목소리가 얹어진 상큼한 사랑노래",가사 속에는 과거와 현재의 감정이 교차하는 이별의 아픔이 담겨 있습니다. 상쾌한 멜로디와 애교 어린 목소리가 어우러져 직설적인 이야기가 전달됩니다. 이별의 아픔과 혼란스러운 마음을 담은 곡입니다.
위잉위잉,혁오 (HYUKOH),20,"비틀비틀 걸어가는 나의 다리
오늘도 의미없는
또 하루가 흘러가죠
사랑도 끼리끼리
하는거라 믿는 나는
좀처럼 두근두근
거릴일이 전혀없죠
위잉위잉 하루살이도
처량한 나를 비웃듯이
멀리 날아가죠
비잉비잉 돌아가는
세상도 나를 비웃듯이
계속 꿈틀대죠
Tell me Tell me Please don’t tell
차라리 듣지 못한 편이
내겐 좋을거야
Tell me Tell me Please don’t tell
차라리 보지 못한 편이
내겐 좋을거야
ai ai ai ai ai ai ai
ai ai ai ai ai ai ai
ai ai ai ai ai ai ai
ai ai ai ai ai ai
사람들 북적대는
출근길의 지하철엔
좀처럼 카드찍고
타볼일이 전혀없죠
집에서 뒹굴뒹굴
할 일없어 빈둥대는
내 모습 너무 초라해서
정말 죄송하죠
위잉위잉 하루살이도
처량한 나를 비웃듯이
멀리 날아가죠
비잉비잉 돌아가는
세상도 나를 비웃듯이
계속 꿈틀대죠
쌔앵 쌔앵 칼바람도
상처난 내 마음을
어쩌지는 못할거야
뚜욱 뚜욱 떨어지는
눈물이 언젠가는
이세상을 덮을거야
Tell me Tell me Please don’t tell
차라리 듣지 못한 편이
내겐 좋을거야
Tell me Tell me Please don’t tell
차라리 보지 못한 편이
내겐 좋을거야
Tell me Tell me Please don’t tell
차라리 느껴보지 못한 편이
좋을거야
Tell me Tell me Please don’t tell
차라리 살아보지 못한 편이
좋을거야
비틀비틀 걸어가는 나의 다리
오늘도 의미없는
또 하루가 흘러가죠
사랑도 끼리끼리
하는거라 믿는 나는
좀처럼 두근두근
거릴일이 전혀없죠
위잉위잉 하루살이도
처량한 나를
비웃듯이 멀리 날아가죠
비잉비잉 돌아가는
세상도 나를
비웃듯이 계속 꿈틀대죠",십대가 끝날 때 느낀 허무함과 염세적 기분이 배경이 되는 곡이다. 희망을 목 놓아 부르기보다는 오히려 어두움을 부각시키지만 마치 햇빛 아래 몸을 뉘인 듯 어딘가 보송보송하다. 사실 관계 맺는 것만큼 쉽고도 어려운 일이 없다. 제대로 작동하지 않는 관계망으로 인한 부조리함을 반복해서 목도하다 보면 지치기 마련이다.,"십대의 허무함과 염세적인 감정을 담은 곡. 사랑과 삶에 대한 어두운 감정을 솔직하게 풀어내며, 지치고 상처받은 마음을 표현한다. 관계의 부조리함과 허전함을 노래한다."
그냥 (Just),"Zion.T, Crush",Young,"내가 안쓰러워 보여
인사하는 거라면
내 마음 다칠까 걱정 말고
그냥 지나가면 돼요
Nanana 나 나나
Nananana 나나
내 마음 아플까 걱정 말고
사실 난 아무렇지도 않아
꼭 아픈 사람처럼 보여도
하고픈 이야기 너무 많았는데
결국 나 혼자 나 혼자
나 혼자서 어쩌구
사실 나는 널 좋아하지 않아
오히려 미워해 싫어해
매일 밤 홀로 누운 침대 위에서
꼭 끌어안은 이불은 추워
내가 안쓰러워 보여
다가오는 거라면
내 마음 아플까 걱정 말고
그냥 지나가면 돼요
니가 내게 무심코
뱉어댄 차가운 말들
몰래 속앓이 해 원래 당연하단 듯
어차피 안 이뤄져 뻔해 잘 알아
동정 따윈 더 이상
나 바라지도 않아
초라해지기 싫어서
나 먼저 그 자리에 일어섰네
머뭇거리지 마 나 진짜 괜찮아
아무 말 말고
뒤돌아 서서 걸어가
Nanana 나 나나
Nananana 나나
내 마음 아플까 걱정 말고
그냥 지나가면 돼요
지나가면","혹시라도 마주치면 그냥 지나가면 돼. 난 괜찮아. 어린 시절 누구나 한 번쯤 사랑이라는 감정을 끝낼 수 밖에 없는 상황으로 가슴앓이를 한 경험이 있을 터. 짝사랑 혹은 이별 후. 한 쪽의 감정이 더욱 클 때 느낄 수 있는 복잡한 심경이 담긴 ""그냥 (Just)"". 놓아주고 포기하는 분위기의 이별일 수도, 바라만 볼 수밖에 없는 짝사랑일수도 있는 멀어져 가고 있는 관계에 대한 이야기.",사랑의 끝을 향한 복잡한 심경을 담은 곡. 상대방의 무심함에도 마음 다치지 않고 지나가려는 마음을 표현한다. 외로움과 이별의 아픔을 솔직하게 담은 곡.
양화대교,Zion.T,양화대교,"우리 집에는
매일 나 홀로 있었지
아버지는 택시드라이버
어디냐고 여쭤보면 항상
양화대교
아침이면 머리맡에 놓인
별사탕에 라면땅에
새벽마다 퇴근하신 아버지
주머니를 기다리던
어린 날의 나를 기억하네
엄마 아빠 두 누나
나는 막둥이 귀염둥이
그 날의 나를 기억하네
기억하네
행복하자
우리 행복하자
아프지 말고 아프지 말고
행복하자 행복하자
아프지 말고 그래 그래
내가 돈을 버네 돈을 다 버네
엄마 백원만 했었는데
우리 엄마 아빠 또 강아지도
이젠 나를 바라보네
전화가 오네 내 어머니네
뚜루루루 아들 잘 지내니
어디냐고 물어보는 말에
나 양화대교 양화대교
엄마 행복하자
아프지 말고 좀 아프지 말고
행복하자 행복하자
아프지 말고 그래 그래
그 때는 나 어릴 때는
아무것도 몰랐네
그 다리 위를 건너가는 기분을
어디시냐고 어디냐고
여쭤보면 아버지는 항상
양화대교 양화대교
이제 나는 서있네 그 다리 위에
행복하자
우리 행복하자
아프지 말고 아프지 말고
행복하자 행복하자
아프지 말고 그래
행복하자 행복하자
아프지 말고 아프지 말고
행복하자 행복하자
아프지 말고 그래 그래","아버지가 지나온 길을 '양화대교'에 빗대어 표현한 가족의 이야기. 비록 자이언티의 개인적인 얘기를 담았지만 이 이야기를 듣는 모든 아들, 딸, 아버지, 어머니들을 위한 노래다. 가장 친한 친구에게 털어놓는 말처럼, 혹은 자신의 일기장 구석에 써놓은 말을 어렵게 꺼내듯 노래 속 모든 말은 충분한 공감의 대상이 된다. 결국 아버지와 아들, 그리고 모든 가족에 대한 위로이자, 행복을 위한 노래다. 울분을 쏟아내지 않아도 담담하게 그만의 정서를 내비친다.",가족의 이야기를 양화대교를 통해 표현한 노래. 아버지와 아들의 사랑과 행복을 담은 이 노래는 모두에게 위로와 공감을 전한다. 감정이 담긴 담담한 가사는 울분을 쏟아내지 않아도 마음을 울리며 행복을 노래한다.
우연히 봄,"로꼬, 유주 (YUJU)",냄새를 보는 소녀 OST Part.2,"우연히 내게 오나봐
봄 향기가 보여
너도 같이 오나봐
저 멀리서 니 향기가
설레는 코끝에 나의 입술에
괜찮은 느낌 이 떨림
나도 몰래 우연히 봄
어 어느새
겨울 지나 봄이야
여전히 난 너
앞에선 돌이야
난 아직 이게
믿기지가 않지만
내 왼손은
지금까지도 너의 향기가
미묘하게 흘렀던 분위기에
아직까지 난 가까스로 숨 쉬네
무대 위완 다르게 니 눈을 피해
고개를 돌렸던
내 모습에 한숨 쉬네
오랜만에 느껴지는
이 떨림이 날 단순하게 만들어
딱 너만 아는 거리지
다 고쳤다고 생각했던 버벅임이
또 도져서 준비했던
말을 잊어버리지
난 주워 담지 못할
말은 절대 안 해
원하는 걸 말해봐
널 위해서만 할게
너 빼곤 다
색칠할 수 있어 까맣게
천천히 갈게 조금 더 가깝게
우연히 내게 오나봐
봄 향기가 보여
너도 같이 오나봐
저 멀리서 니 향기가
설레는 코끝에 나의 입술에
괜찮은 느낌 이 떨림
나도 몰래 우연히 봄
우연히 봄
어 아직까지 향기가 짙네
발걸음이 가벼워
집에 가는 길엔
더 가까워질 너와 나를
상상하는 내 모습이
오글거려 몸서리치네
어 어 머릿속이
하얘지기 때문에
하루 종일 날씨
얘기만 반복하게 돼
오로지 난 너 하나 때문에
다른 것들에겐 무감각하게 돼
정적이 만드는 긴장감은
오히려 설레어
나를 미소 짓게 만들어
모른 척 하려 했던
니 옆의 남자들은
흐릿했던 내 눈 앞에
불을 키게 만들어
겨울은 유난히도 추웠고
다시 돌아온
그토록 기다렸던 봄
움직이지 못하도록
잡고 있고 싶어
날 더 느낄 수 있게
안고 있고 싶어
우연히 내게 오나봐
봄 향기가 보여
너도 같이 오나봐
저 멀리서 니 향기가
설레는 코끝에 나의 입술에
괜찮은 느낌 이 떨림
나도 몰래 우연히 봄
I love u so I love u
너무 쉬운 걸
그래도 나 참고 있을게
난 여자이니까
하루 더 기다려
바보야 내게 말해봐
니 마음도 보여
갖고 싶다고 해봐
더 이상은 감추지 마
어느새 내 앞에 이젠 내 앞에
괜찮은 느낌 이 떨림
나도 몰래 우연히 봄",우연히 봄'은 사랑이 시작되는 느낌의 마음을 봄처럼 표현한 곡으로 도입부터 나오는 유주 (YUJU)의 목소리와 아름다운 피아노 선율 그리고 로꼬의 감각적인 랩을 더한 팝 스타일 러브송이다. 봄의 화사한 느낌과 드라마의 깨알 같은 로코 분위기를 잘 살려서 상반기 드라마 OST의 기대작이라고 해도 손색이 없다.,사랑이 싹트는 봄의 따뜻한 감성을 노래한 팝 스타일 곡. 유주의 목소리와 로꼬의 랩이 어우러진 '우연히 봄'은 사랑의 설레임을 담은 상반기 드라마 OST 기대작.
또 다시 사랑,임창정,또 다시 사랑,"아픔이 좀 더 작아질까
의미 없는 만남을 하다가
어느 날 그대가 흘린 눈물
왠지 나와 같다 느껴서
이렇게 그대를 지키는가 봐요
행복하고 싶었던 그대를
몰랐던 누군갈 또 알아가면서
분명 행복할 걸 알겠지만
내가 그대를 만났다는 건
어쩌면 흘러가는 흔한
인연이란 것 일지 모르지만
오늘도 다시 또 다시 사랑해요
사랑 언제나 이번이 마지막이라며
처음인 듯 찾아오니까
어느 날 그대가 숨긴 눈물
왠지 나와 같다 느껴서
이렇게 그대를 지키는 가 봐요
행복하고 싶었던 그대를
몰랐던 누군갈 또 알아가는 게
혹시 두렵기도 하겠지만
내가 그대를 만났다는 건
어쩌면 흘러가는 흔한
인연이란 것일지 모르지만
오늘도 다시 또 다시 사랑해요
사랑 언제나 이번이 마지막이라며
처음인 듯 찾아오니까
절대 우리 작은 다툼조차 하지 마요
이별 후엔 서운함만
가슴속에 남으니
사소한 그 표현이 그 말들이
언제나 나에겐 참
고마울 거예요
내가 그대를 만났다는 건
어쩌면 흘러가는 흔한
인연이란 것 일지 모르지만
오늘도 다시 또 다시 사랑해요
사랑 언제나 이번이 마지막이라며
처음인 듯 찾아오니까
사랑 언제나 이번이 마지막이라며"," 아름다운 피아노 테마와 함께 시작되는 임창정의 담담하지만 슬픔을 담고 있는 보이스는 전주부터 몰입도를 높이며, 후반부의 웅장한 스케일의 멜로디와 임창정의 트레이드마크인 고음은 절묘한 하모니를 이뤘으며 대한민국 최고의 세션",한 사람을 지키고 싶은 마음과 사랑의 복잡한 감정을 솔직하게 표현한 곡. 임창정의 보이스와 아름다운 피아노 멜로디가 감성적인 분위기를 더해준다. 함께하는 인연의 소중함을 노래한 곡.
레옹,"이유 갓지(GOD G) 않은 이유 (박명수, 아이유)",무한도전 영동고속도로 가요제,"레레 레레레옹
레레레 레레레옹 레레레옹
레레 레레레 레레
눈에 띄게 흰 피부에
입술은 피빨강
꼿꼿하게 핀 허리에
새침한 똑단발
못된 걸음으로 또 어디를 가나
누굴 찾는 것 같아
이 외로운 마틸다
티키타 리듬에 맞춰 스핀
기타 리프 테마는 스팅의
Shape Of My Heart
난 나잇값을 떼먹은 남자
Call Me 레옹 Call Me 레옹
Call Me 레옹
Call Me Call Call Call
Call Call Call Me
시끄러운 사람들 틈에
왜 당신은 조금도 춤을 추지 않나요
나 그대가 궁금해
알 수 없는 표정에
까만 선글라스
Mon Cher Look At Me
춤추고 싶지 않아
Mon Cher Look At Me
이유는 캐묻지 마라
Hey Baby Look At Me
슬픈 눈을 들키고 싶지 않아
더는 다가오지 마라 깜빡
왜 그렇게 무뚝뚝하나요
상냥하게 좀 해줄래요 ma 레옹
나도 어디서 꿀리진 않아
내 Choice는 틀리지 않아
I'm 마 마틸다
I'm 마 마 마틸다
I'm 마 마틸다
I'm 마 I'm I'm 마 I'm 마
잔잔히 잠들은 내 맘에
왜 돌을 던져 날 춤추고 싶게 만들어
흔들리는 눈빛을 감추어주오
나의 까만 선글라스
Ma chere What You Need
나처럼 춤을 춰요
Ma chere What You Need
아 튕기지 좀 마요
Hey Baby What You Need
그래 앞에 나를 봐요
자 이제 춤을 춰요 깜빡
Un Deux Trois Quatre
레레 레레레 레레 레 레레옹
레레 레레레 레레 레 레레옹
Mon Cher Look At Me
춤추고 싶지 않아
Mon Cher Look At Me
이유는 캐묻지 말아
Hey Baby Look At Me
슬픈 눈을 들키고 싶지 않아
더는 다가오지 말아 깜빡
Ma chere What You Need
나처럼 춤을 춰요
Ma chere What You Need
아 튕기지 좀 마요
Hey Baby What You Need
그래 앞에 나를 봐요
자 이제 춤을 춰요 춰요 깜빡",차가운 도심에서 뿌리 없이 떠돌던 레옹과 마틸다가 알 수 없는 감정에 이끌려 서로에게 점점 다가가는 이야기를 담은 곡으로 레트로 블루스 풍의 멜로디를 통해 직설적이면서도 새침한 마틸다와 냉소적이면서도 마음을 숨기지 못 하는 레옹의 성격이 돋보이는 가사가 인상적이다.,냉소적인 레옹과 신비로운 마틸다의 이야기를 담은 레트로 블루스 곡. 서로에게 이끌리는 감정을 직설적인 가사와 멜로디로 표현하였다.
SHAKE IT,씨스타,SHAKE IT,"너만을 유혹하는 춤
우우우 우우우우
심장에 매력 발산 중
우우우 우우우우
손끝만 스쳐도 막 쿵쿵쿵쿵 Oh
내 맘이 흔들려
Shake it shake it for me
Shake it shake it for me
나나나 나나나 나나나
Hey
나나나 나나나 나나나
짜릿한 이 느낌
날 춤을 추게 해
지금 이 순간
Shake it
Bae bae baby
Love me love me love me now
흔들리는 내 맘 모르겠니
So let's dance
Just shake it let's dance
좀 더 핫하게 완전 와일드하게
Make it louder 우우우
더 크게 make it louder 우우우
날 자꾸 흔들어 흔들어
놀라게 흔들어
Shake it oh shake it
밤새 나와 Shake it baby
아주 fun하고 smart하게
흔들흔들어
온몸이 찌릿찌릿 우리 둘이
흔들흔들어
심하게 통하니 여기 불났으니
When I Move
움직여 자리 잡았으니
Shake it shake it for me
Shake it shake it for me
나나나 나나나 나나나
Hey
나나나 나나나 나나나
짜릿한 이 느낌
날 춤을 추게 해
지금 이 순간
Shake it
Bae bae baby
Love me love me love me now
흔들리는 내 맘 모르겠니
So let's dance
Just shake it let's dance
좀 더 핫하게 완전 와일드하게
Make it louder 우우우
더 크게 make it louder 우우우
날 자꾸 흔들어 흔들어
놀라게 흔들어
Shake it oh shake it
밤새 나와 Shake it baby
Shake it oh shake it
Shake it up shake it for me
Shake it oh shake it
Shake it up shake it for me
Shake it oh shake it
Shake it up shake it for me
Shake it oh shake it
Shake it up shake it for me
Shake it for me my baby
Shake it for me my baby
그렇게 모두 모여 dance
Just shake it let's dance
좀 더 핫하게 완전 와일드하게
Make it louder 우우우
더 크게 make it louder 우우우
날 자꾸 흔들어 흔들어
놀라게 흔들어
Shake it oh shake it
밤새 나와 Shake it baby","강렬한 브라스 루핑과 펑키하면서 신나는 기타, 드럼 사운드로 시작되는 ""Shake It"" 은 '씨스타'표 여름 댄스 곡.  ""Shake It"" 이라는 제목 그대로, 듣고 있으면 몸을 자연스럽게 흔들 수 있는 펑키한 비트감이 특징적인 이 곡은 중독성 강한 후크 멜로디와 '씨스타'의 시원한 보컬이 더해져 더위를 한번에 날려버릴 수 있는 곡.","""Shake It""은 '씨스타'의 여름 댄스 곡으로, 중독성 있는 비트와 시원한 보컬이 어우러져 더위를 날려버리는 곡이다. 몸을 흔들고 춤추게 만드는 감각적인 멜로디와 함께, 강렬한 브라스와 펑키한 기타 사운드가 드라마틱한 분위기를 연출한다."
와리가리,혁오 (HYUKOH),22,"그런 슬픈 말을 하지 마요
아마 그럴 줄은 알았는데
이젠 좀 잔잔하다 했었는데
뒤도 돌아보지 않아
그런 마음을 낮추지 마요
저기 다가온다 기대했는데
또 한 편 언젠가는 떠나갈걸
이젠 슬쩍 봐도 알아
And we play comes and goes
cause we did this
when we were child before
and we play comes and goes
cause big boys still
play the game all the time
다 쓴 야광별을 떼어냈죠
옅은 빛을 살피고 있으면
내일이 그리 기다려졌는데
이젠 그렇지도 않아
어렸을 때 몰래 훔쳐봤던
아빠의 수첩 같은 일기장엔
오늘의 걱정이 적혀있던 게
이제야 생각나네
And we play comes and goes
cause we did this
when we were child before
and we play comes and goes
cause big boys still
play the game all the time
익숙하니 또 무뎌지네요
흘러간 장면이 펼쳐지네요
다시 그 순간을 마주한대도
그땐 또 지금 같진 않겠지
And we play comes and goes
cause we did this
when we were child before
and we play comes and goes
cause big boys still
play the game all the time
Familiarity is a common sense
I feel like I’m not here anymore
그냥 다들 안고선 살고 있더라고
다들 그렇게들 떠나나요
이미 저 너머 멀리에 가있네
여기에는 아무도 안 올 테니
그냥 집으로 돌아갈래","해외에 거주하던 어릴 적부터 서울에 자리 잡은 지금까지 반복되고 있는, 익숙해지려면 떠나가 버리는 사람들과 그 관계들이 부각",사람들이 떠나는 관계와 익숙함 속에서 느껴지는 감정을 솔직하게 그린 곡.
심쿵해 (Heart Attack),AOA,Heart Attack,"A ye Brave sound
And it goes a little something like this
완전 반해 반해 버렸어요
부드러운 목소리에
반해 반해 버렸어요
난 떨려
AOA Let's Go
내가 미쳤나 봐 왜 또 이러지
내 마음 열여덟 소녀 마냥
막 쿵쿵대
숨길 수 없나 봐 난 매일 이러지
눈이라도 마주치면
귀까지 확 빨개져
이해 못해
네가 걔를 못 봐서 그래
딱 첫눈에 확 반해 버린다는 말에
그 마음 이해 가더라
나도 좀 알겠더라
널 처음 본 그 순간
완전 반해 반해 버렸어요
넓은 어깨 날렵한 눈매에
부드러운 목소리에
반해 반해 버렸어요
너의 얇고 긴 손가락만 봐도
난 떨려
어머나 자꾸만 심쿵해
널 보면 볼수록
가슴이 쿵쿵대 나도 모르겠어
심쿵해 나 어쩌면 좋아
자꾸만 네 품에
꼭 안기고 싶어 baby
어쩌다 눈이라도 마주치면
난 심쿵 거려
너의 작은 관심이라도 받을까
아등바등 거려
너는 대체 걔가 뭐가 그리 좋아
라고 묻는 친구들에게 말해
야 모르면 말을 말어
이해 못해 네가 걔를 못 봐서 그래
딱 첫눈에 확 반해 버린다는 말에
그 마음 이해 가더라
나도 좀 알겠더라
널 처음 본 그 순간
완전 반해 반해 버렸어요
넓은 어깨 날렵한 눈매에
부드러운 목소리에
반해 반해 버렸어요
너의 얇고 긴 손가락만 봐도
난 떨려
어머나 자꾸만 심쿵해
널 보면 볼수록
가슴이 쿵쿵대 나도 모르겠어
심쿵해 나 어쩌면 좋아
자꾸만 네 품에
꼭 안기고 싶어 baby
오 나의 왕자님 어디를 보나요
바로 여기 내가 있는데요
너무나 멋진 그대
난 그대 하나면 돼
난 그대 없이 못 살아요
완전 반해 반해 버렸어요
부드러운 목소리에
반해 반해 버렸어요
난 떨려
어머나 자꾸만 심쿵해
Everybody say What AOA
쿵쿵대
And it goes a little something like this
심쿵해
한번 더 say What AOA
네 품에 꼭 안기고 싶어 baby",첫 눈에 반해버린 여자의 마음을 솔직하면서도 재치 있게 표현한 가사가 인상적인 팝댄스 넘버다. 지금까지 AOA가 시도하지 않았던 일렉트로닉 성향이 가득 담긴 서머송이다.,첫눈에 반해버린 여자의 솔직한 감정을 재치 있게 표현한 인상적인 일렉트로닉 팝댄스 곡. AOA의 새로운 시도가 돋보이는 서머송.
겁 (Feat. 태양),MINO (송민호),쇼미더머니 4 Episode 5,"뒤돌아 봤을 때
생각보다 멀리
와있었어 난 혼자였고
문득 겁이 났지
내가 날 봤을 때
지쳐있단 사실을
몰랐었어 난 외로웠고
문득 겁이 났지
넌 잘하고 있어 헷갈릴 때면
여태 그랬던 것처럼 그냥 Go
너답게 해 너는 너를 알아
연습했잖아 한 수 천 번은 말야
좌절 한 두 번 이젠 시시해
원래 기회라는 건 인생의 위기에
넌 알잖아 다시 일어나는 법
천국여행 간다며 어서 싸 캐리어
멈추지 마라 아직 할 일 많아
뒷바라지하는 부모님의 사진봐
넌 동생들의 거울이자 가족들의 별
네가 잠을 줄여야만
그들이 편하게 숙면
야 이 병신아 티 좀 내지마
마음 단단히 먹어 알아 외롭지만
견뎌내야 돼
눈물 흘리냐 사내새끼가
뚝 그치고 다시 들어 책임감
eh 아무것도 보기 싫었을 때
억지로 눈을 부릅뜬 건
그냥 겁나서
덜컥 겁이 나서 그래 eh o
아무 말도 하기 싫었을 때
일부러 목소릴 높인 건
There is no other reason
겁이 나 난 겁이 나
입버릇처럼 말했어
언제나 나는 나를 믿어
상대는 없다며
But enemy was in my mirror
계속된 싸움에 이성을 잃었었나봐
내가 나를 죽였어
엄마도 내 눈치를 봐
대중의 관심을 받는 게 eh
CCTV 속에 사는 게 eh
한곳만 죽어라 팠는데
그게 내 무덤이 될 수도
있다는 게 무서웠어
아버지 날 보고 있다면
정답을 알려줘
어른이 되기엔 난 어리고 여려
아직도 방법을 모르고
부딪히는 짓만 하기엔
너무 아프다는 걸
이제 알았어 너무 늦었나봐
무식하게 채찍질만 하기엔
아물지 않은 상처가 너무 많아
eh 아무것도 보기 싫었을 때
억지로 눈을 부릅뜬 건
그냥 겁나서
덜컥 겁이 나서 그래 eh o
아무 말도 하기 싫었을 때
일부러 목소릴 높인 건
There is no other reason
겁이 나 난 겁이 나
자꾸 겁이 나
난 모든 게 감사해
내 종교를 떠나서
6년 전부터 이 꼬맹이를
이용하려 했던
악덕 대표님들 조차
날 구원해준 지금의 회사도
이 무대를 내어준 수많은 참가자도
남자의 삶을 알려준
하늘에 계신 큰아빠도
가족 내 어깨들과
형제 같은 멤버들도
딱 오늘까지만 위로를 받고
내일부턴 겁쟁이가 아닌
성숙해진 나로
eh 아무것도 보기 싫었을 때
억지로 눈을 부릅뜬 건
그냥 겁나서
덜컥 겁이 나서 그래 eh o
아무 말도 하기 싫었을 때
일부러 목소릴 높인 건
There is no other reason
겁이 나 난 겁이 나
Can you see me now
Anybody save me from this fear
oh
Can you hear me now
woah
woo",연예계에 들어선 후 지난 6년간 송민호 본인이 느꼈던 감정에 대해 이야기한 자전적인 곡으로써 대중 앞에서 한 번도 말하지 못했던 송민호 자신의 이야기를 처음으로 솔직하게 풀어냈다.,송민호가 연예계에서 겪은 감정을 솔직하게 털어놓은 자전적인 곡. 대중 앞에서 말하지 못했던 감정을 송민호가 솔직하게 전달한다. 겁과 고난에 맞서 성장하는 이야기.
